Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
68000,2345,29.0,5,5,1,Central,Fully equipped,0.1,0.08,0.15,0.2,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-parduodamas-naujai-irengtas-29-kvm-butas-1-3265838/,-37820.234375,105820.234,1964-01-01,2022-11-29
68000,2345,29.0,5,5,1,Central,Fully equipped,0.1,0.08,0.15,0.2,10.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-darzelio-g-parduodamas-naujai-irengtas-29-kvm-butas-1-3265838/,-37820.203125,105820.2,1964-01-01,2022-11-29
129000,1741,74.08,3,5,4,Central,Fully equipped,0.27,0.08,0.16,0.16,12.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-buto-privalumai-balkonas-rusys-1-3249951/,-37742.875,166742.88,1975-01-01,2022-11-29
68000,2345,29.0,5,5,1,Central,Fully equipped,0.32,0.19,0.19,0.08,9.0,Vilnius,Naujoji Vilnia,https://en.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-2022-m-naujai-suremontuotas-1-3272240/,-37741.6171875,105741.62,1968-01-01,2022-11-29
115900,3708,31.26,4,4,2,Gas,Fully equipped,0.36,0.16,0.2,0.14,9.0,Kaunas,Senamiestis,https://en.aruodas.lt/butai-kaune-senamiestyje-v-kuzmos-g-parduodamas-butas-palepe-prestizineje-miesto-1-3269734/,-37687.171875,153587.17,1959-01-01,2022-11-29
103500,863,120.0,2,2,4,Gas,Fully equipped,0.23,0.53,0.45,0.47,4.0,Kaunas,Žaliakalnis,https://en.aruodas.lt/butai-kaune-zaliakalnyje-zemaiciu-g-parduodamas-butas-prestizineje-vietoje-kauno-1-3266714/,-37619.984375,141119.98,1926-01-01,2022-11-29
85000,4722,18.0,2,5,1,Central,Fully equipped,0.33,0.24,0.39,0.18,15.0,Vilnius,Žvėrynas,https://en.aruodas.lt/butai-vilniuje-zveryne-studentu-g-parduodamas-labai-kokybiskomis-medziagomis-1-3235278/,-37617.1640625,122617.164,2021-01-01,2022-11-29
109000,2266,48.1,1,5,2,Central,Fully equipped,0.06,0.26,0.45,0.24,14.0,Vilnius,Naujamiestis,https://en.aruodas.lt/butai-vilniuje-naujamiestyje-vytenio-g-labai-patogioje-vietoje-salia-senamiescio-1-3264972/,-37593.109375,146593.11,1961-01-01,2022-11-29
89900,2043,44.0,5,5,2,Central,Fully equipped,0.22,0.47,0.23,0.23,22.0,Vilnius,Šeškinė,https://en.aruodas.lt/butai-vilniuje-seskineje-ukmerges-g-ka-tik-atliktas-kokybiskas-remontas-butas-1-3250631/,-37590.84375,127490.84,1980-01-01,2022-11-29
110000,2180,50.47,2,5,2,Central,Fully equipped,0.15,0.37,0.41,0.14,4.0,Vilnius,Pilaitė,https://en.aruodas.lt/butai-vilniuje-pilaiteje-papilenu-g-parduodamas-erdvus-2-kambariu-butas-pilaiteje-1-3258722/,-37583.375,147583.38,1996-01-01,2022-11-29
78000,1258,62.0,3,5,3,Central,Fully equipped,0.2,0.26,0.29,0.41,20.0,Šiauliai,Centras,https://en.aruodas.lt/butai-siauliuose-centre-ezero-g-siauliu-miesto-centrineje-dalyje-uz-siauliu-1-3271986/,-37430.3203125,115430.32,1965-01-01,2022-11-29
80000,2667,30.0,3,5,1,Central thermostat,Fully equipped,1.9,2.1,1.6,,0.0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-vanagupes-13-antras-namas-nuo-juros-kelios-1-3245649/,-37418.640625,117418.64,1990-01-01,2022-11-29
129000,2081,62.0,4,5,3,Central,Fully equipped,0.08,0.22,0.5,0.09,6.0,Vilnius,Šeškinė,https://en.aruodas.lt/butai-vilniuje-seskineje-gelvonu-g-parduoda-savininkas-tarpininku-maloniai-1-3251263/,-37310.46875,166310.47,1982-01-01,2022-11-29
84990,2130,39.91,4,5,1,Central,Fully equipped,0.35,0.35,0.23,0.23,12.0,Vilnius,Justiniškės,https://en.aruodas.lt/butai-vilniuje-justiniskese-justiniskiu-g-parduodamas-1-kambario-butas-justiniskese-1-3266710/,-37275.25,122265.25,1988-01-01,2022-11-29
130200,3249,40.07,1,4,2,Central thermostat,Partial decoration,0.3,1.5,0.21,0.16,2.0,Vilnius,Lazdynėliai,https://en.aruodas.lt/butai-vilniuje-lazdyneliuose-lietaus-g-lazdyneliai-pictures-ikvepia-gyventi-1-3252979/,-37249.21875,167449.22,2023-01-01,2022-11-29
176000,2970,59.25,7,7,3,Central thermostat,Partial decoration,0.22,0.36,0.27,0.25,6.0,Vilnius,Baltupiai,https://en.aruodas.lt/butai-vilniuje-baltupiuose-baltupio-g-parduodamas-kompaktiskas-5925-kv-m-3-kamb-1-3224484/,-37231.640625,213231.64,2023-01-01,2022-11-29
99000,1974,50.15,6,9,2,Central,Fully equipped,0.09,0.13,0.21,0.26,2.0,Vilnius,Šeškinė,https://en.aruodas.lt/butai-vilniuje-seskineje-gelvonu-g-laukiantis-nauju-seiminku-butas-gelvonu-g-1-3270420/,-37230.296875,136230.3,1982-01-01,2022-11-29
282752,4808,58.81,3,4,3,Central thermostat,Partial decoration,0.35,0.25,0.3,0.36,10.0,Vilnius,Užupis,https://en.aruodas.lt/butai-vilniuje-uzupyje-polocko-g-namai-jusu-isskirtiniam-gyvenimo-stiliui-1-3238160/,-37218.78125,319970.78,2023-01-01,2022-11-29
85000,1771,48.0,2,5,2,Central,Fully equipped,0.24,0.13,0.31,0.16,15.0,Vilnius,Karoliniškės,https://en.aruodas.lt/butai-vilniuje-karoliniskese-igno-simulionio-g-butas-be-remonto-bet-turi-daug-privalumu-1-3271834/,-37204.609375,122204.61,1975-01-01,2022-11-29
139200,3416,40.75,5,7,2,Central thermostat,Partial decoration,0.25,0.25,0.35,0.2,5.0,Vilnius,Šnipiškės,https://en.aruodas.lt/butai-vilniuje-snipiskese-kalvariju-g-siulome-isigyti-4075-m-2-kambariu-buta-1-3251137/,-37168.0,176368.0,2023-01-01,2022-11-29
135000,2288,59.0,1,6,2,Central thermostat,Fully equipped,0.19,0.52,0.54,0.18,15.0,Vilnius,Justiniškės,https://en.aruodas.lt/butai-vilniuje-justiniskese-taikos-g-parduodamas-2006-m-statybos-2-kambariu-butas-1-3267428/,-37151.671875,172151.67,2006-01-01,2022-11-29
