Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
66000,1347,49.0,3,9,2,Central,Fully equipped,0.05,0.32,0.22,0.24,14,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-buto-pardavimas-butas-ne-kampinis-visi-1-3228240/,1583970.8363349617,-1517970.8363349617,1977-01-01,2022-11-28
66000,1347,49.0,3,9,2,Central,Fully equipped,0.05,0.32,0.22,0.24,14,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-buto-pardavimas-butas-ne-kampinis-visi-1-3228240/,1583970.8363349617,-1517970.8363349617,1977-01-01,2022-11-28
66000,1347,49.0,3,9,2,Central,Fully equipped,0.05,0.32,0.22,0.24,14,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-2-ju-kambariu-butas-zardininku-g-1-3256536/,1583970.8363349617,-1517970.8363349617,1977-01-01,2022-11-28
66000,1100,60.0,1,5,3,Central,Fully equipped,0.05,0.34,0.18,0.29,13,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-namas-geroje-vietoje-salia-zardes-prekybos-1-3257866/,1583970.9977740366,-1517970.9977740366,1980-01-01,2022-11-28
66000,1086,60.75,1,5,3,Central,Fully equipped,0.05,0.34,0.18,0.29,13,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-parduodamas-triju-kambariu-butas-du-1-3158271/,1583971.0097174346,-1517971.0097174346,1978-01-01,2022-11-28
66000,1086,60.75,1,5,3,Central,Fully equipped,0.05,0.34,0.18,0.29,13,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-parduodamas-triju-kambariu-butas-du-1-3158271/,1583971.0097174346,-1517971.0097174346,1978-01-01,2022-11-28
67990,1416,48.0,5,5,2,Central,Fully equipped,0.29,0.16,0.25,0.09,11,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-reikjaviko-g-reikjaviko-gatveje-parduodamas-2-ju-atskiru-1-3248659/,1585960.8604333736,-1517970.8604333736,1978-01-01,2022-11-28
68000,1063,64.0,1,9,3,Central,Fully equipped,0.16,0.1,0.45,0.18,10,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-parduodamas-labai-tvarkingas-perplanuotas-3-1-3267582/,1585971.0406930808,-1517971.0406930808,1961-01-01,2022-11-28
161000,2692,59.81,6,6,2,"Geothermal, sun energy",Partial decoration,0.32,0.5,0.13,0.15,12,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-taikos-pr-naujiena-moderniausiame-daugiabutyje-1-3265508/,1587923.6715195053,-1426923.6715195053,2023-01-01,2022-11-28
12900,725,17.8,4,5,1,Central,Fully equipped,0.21,0.38,0.13,0.17,8,Klaipėda,Kaunas,https://en.aruodas.lt/butai-klaipedoje-kauno-mikrorajone-silutes-pl-tarp-kauno-ir-paryziaus-komunos-gatviu-1-3085323/,1589029.3055121345,-1576129.3055121345,1967-01-01,2022-11-28
