Date,Price,Region,District
2017-01,1691.9,Vilnius,Antakalnis
2017-02,1673.09,Vilnius,Antakalnis
2017-03,1682.38,Vilnius,Antakalnis
2017-04,1693.94,Vilnius,Antakalnis
2017-05,1706.19,Vilnius,Antakalnis
2017-06,1734.88,Vilnius,Antakalnis
2017-07,1811.55,Vilnius,Antakalnis
2017-08,1831.41,Vilnius,Antakalnis
2017-09,1838.5,Vilnius,Antakalnis
2017-10,1833.63,Vilnius,Antakalnis
2017-11,1838.51,Vilnius,Antakalnis
2017-12,1814.2,Vilnius,Antakalnis
2018-01,1794.37,Vilnius,Antakalnis
2018-02,1897.47,Vilnius,Antakalnis
2018-03,1866.89,Vilnius,Antakalnis
2018-04,1918.42,Vilnius,Antakalnis
2018-05,1853,Vilnius,Antakalnis
2018-06,1833.61,Vilnius,Antakalnis
2018-07,1828.52,Vilnius,Antakalnis
2018-08,1854.3,Vilnius,Antakalnis
2018-09,1862.55,Vilnius,Antakalnis
2018-10,1894.6,Vilnius,Antakalnis
2018-11,1891.91,Vilnius,Antakalnis
2018-12,1875.36,Vilnius,Antakalnis
2019-01,1887.77,Vilnius,Antakalnis
2019-02,1923.65,Vilnius,Antakalnis
2019-03,1930.14,Vilnius,Antakalnis
2019-04,1958.59,Vilnius,Antakalnis
2019-05,1985.94,Vilnius,Antakalnis
2019-06,1973.18,Vilnius,Antakalnis
2019-07,1987.51,Vilnius,Antakalnis
2019-08,2025.29,Vilnius,Antakalnis
2019-09,2041.57,Vilnius,Antakalnis
2019-10,2065.62,Vilnius,Antakalnis
2019-11,2058.09,Vilnius,Antakalnis
2019-12,2086.82,Vilnius,Antakalnis
2020-01,2095.5,Vilnius,Antakalnis
2020-02,2177.51,Vilnius,Antakalnis
2020-03,2165.78,Vilnius,Antakalnis
2020-04,2147.84,Vilnius,Antakalnis
2020-05,2115.22,Vilnius,Antakalnis
2020-06,2118.53,Vilnius,Antakalnis
2020-07,2144.93,Vilnius,Antakalnis
2020-08,2175.76,Vilnius,Antakalnis
2020-09,2187.89,Vilnius,Antakalnis
2020-10,2171.28,Vilnius,Antakalnis
2020-11,2191.41,Vilnius,Antakalnis
2020-12,2196.12,Vilnius,Antakalnis
2021-01,2237.29,Vilnius,Antakalnis
2021-02,2362.46,Vilnius,Antakalnis
2021-03,2376.57,Vilnius,Antakalnis
2021-04,2288.61,Vilnius,Antakalnis
2021-05,2302.94,Vilnius,Antakalnis
2021-06,2453.83,Vilnius,Antakalnis
2021-07,2551.26,Vilnius,Antakalnis
2021-08,2627.07,Vilnius,Antakalnis
2021-09,2561.71,Vilnius,Antakalnis
2021-10,2538.82,Vilnius,Antakalnis
2021-11,2551.64,Vilnius,Antakalnis
2021-12,2685.46,Vilnius,Antakalnis
2022-01,2803.33,Vilnius,Antakalnis
2022-02,2889.61,Vilnius,Antakalnis
2022-03,2941.64,Vilnius,Antakalnis
2022-04,2900.22,Vilnius,Antakalnis
2022-05,3014.13,Vilnius,Antakalnis
2022-06,3022.92,Vilnius,Antakalnis
2022-07,3075.77,Vilnius,Antakalnis
2022-08,3070.44,Vilnius,Antakalnis
