Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
75000,1067,70.27,5,5,4,1973-01-01,Central,Fully equipped,0.55,0.6,0.15,0.1,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-medvegalio-g-patogioje-vietoje-aukstuosiuose-sanciuose-1-3238018/
110000,1571,70.0,2,5,3,1985-01-01,Central,Fully equipped,0.48,0.63,0.18,0.03,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-prancuzu-g-parduodamas-irengtas-triju-kambariu-butas-1-3270584/
381000,3073,124.0,4,4,4,2021-01-01,Other,Fully equipped,0.59,0.8,0.16,0.05,4,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-prancuzu-g-parduodamas-irengtas-12458-kvadratiniu-metru-1-3269466/
71000,998,71.17,1,9,3,1992-01-01,Central,Fully equipped,0.49,0.76,0.13,0.14,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-lentvario-g-parduodamas-itin-erdvus-3-kambariu-butas-su-1-3268498/
98000,1216,80.57,1,5,4,1970-01-01,Central,Fully equipped,0.5,0.49,0.14,0.2,4,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-medvegalio-g-parduodamas-4-kambariu-butas-8057-kvm-1-3267994/
119500,1838,65.0,2,5,3,1985-01-01,Central,Fully equipped,0.51,0.64,0.18,0.03,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-prancuzu-g-plytiniame-name-parduodamas-3k-butas-po-1-3267008/
129000,2529,51.0,4,8,3,2008-01-01,Central thermostat,Fully equipped,0.79,0.55,0.52,0.2,4,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-asmenos-1-oji-g-parduodamas-3-k-butas-aukstuosiuose-1-3265378/
8500,460,18.48,1,1,1,1955-01-01,Solid fuel,Other,1.2,0.58,0.15,0.11,5,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-gelezinkelio-g-1-kambario-butas-su-dalimi-priklausinio-1-3264622/
88900,1365,65.14,6,9,3,1982-01-01,Central,Fully equipped,0.2,0.3,0.21,0.18,6,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-alsedziu-g-rami-vieta-namas-toliau-nuo-gatves-daug-1-3263646/
89999,1191,75.58,1,5,4,1973-01-01,Central,Fully equipped,0.66,0.69,0.07,0.13,3,Kaunas,Aukštieji Šančiai,https://en.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-medvegalio-g-parduodamas-4-kambariu-butas-medvegalio-g-1-3261946/
