Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
64000,1050,60.97,2,5,3,1977-01-01,Central,Fully equipped,0.23,0.11,0.24,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kastonu-g-parduodamastriju-kambariu-butas-kastonu-g-1-3270804/
68000,1439,47.24,1,5,2,1979-01-01,Central,Fully equipped,0.11,0.23,0.35,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kastonu-g-parduodamas-gero-planavimo-dvieju-kambariu-1-3270182/
105000,1566,67.06,5,5,3,1981-01-01,Central,Fully equipped,0.08,0.27,0.43,,2,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-jaunimo-g-parduodamas-naujai-suremontuotas-butas-1-3239932/
35000,879,39.83,5,5,1,1986-01-01,Central,Fully equipped,0.4,0.13,0.23,,9,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-topoliu-g-1-kambario-butas-1-kambario-butas-vidzgirio-1-3269246/
75000,1465,51.18,10,10,2,1985-01-01,Central,Fully equipped,0.35,0.24,0.09,,9,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-statybininku-g-2-atskiri-oro-kondicionieriai-sildomos-1-3265564/
90000,1966,45.78,1,1,2,2019-01-01,"Central, electric",Fully equipped,0.37,0.51,0.13,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-santaikos-g-parduodamas-moderniai-ir-labai-apgalvotai-1-3265452/
82200,1204,68.29,3,5,3,1981-01-01,Central,Fully equipped,0.48,0.1,0.1,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-jaunimo-g-parduodamas-butas-strategiskai-patogioje-1-3091405/
53000,978,54.17,5,5,2,1986-01-01,Central,Fully equipped,0.32,0.1,0.25,,8,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-volunges-g-parduodamas-erdvus-2-riu-kambariu-54-kv-m-1-3262182/
67000,1089,61.5,4,5,3,1975-01-01,Central,Fully equipped,0.58,0.64,0.62,,1,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-statybininku-g-tvarkingas-3-kambariu-butas-vidzgiryje-butas-1-3259190/
81000,1264,64.06,9,9,3,1976-01-01,Central,Fully equipped,0.41,0.29,0.08,,11,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-topoliu-g-parduodamas-tvarkingas-suremontuotas-butas-1-3267012/
65000,1250,52.0,8,10,2,1994-01-01,Gas,Fully equipped,0.55,0.57,0.2,,0,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kernaves-g-1-3224000/
76000,1227,61.96,2,5,3,1976-01-01,Central,Fully equipped,0.4,0.22,0.11,,7,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-statybininku-g-strategiskai-geroje-ir-ramioje-vietoje-1-3253253/
60000,1200,49.98,4,5,2,1980-01-01,Central,Fully equipped,0.16,0.44,0.41,,1,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-sudvaju-g-2-kamabariu-butas-parduodamas-2-kambariu-1-3251003/
85000,1269,67.0,1,9,3,1990-01-01,Central,Fully equipped,0.22,0.14,0.12,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-jurgiskiu-g-parduodamas-3k-butas-jurgiskiu-g-vidzgirio-1-3260790/
67000,1351,49.6,5,5,2,1989-01-01,Central,Fully equipped,0.42,0.18,0.18,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-statybininku-g-parduodamas-2-kambariu-siuolaikiskai-irengtas-1-3265136/
72000,1158,62.19,1,9,3,1990-01-01,Central,Fully equipped,0.2,0.09,0.16,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-likiskeliu-g-parduodamas-labai-tvarkingas-3-kambariu-butas-1-3255089/
65000,832,78.13,2,5,4,1980-01-01,Central,Fully equipped,0.25,0.3,0.3,,2,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-jaunimo-g-parduodamas-4-kambariu-butas-2-aukste-1-3272604/
69000,1312,52.58,4,9,2,1995-01-01,Central,Fully equipped,0.5,0.31,0.31,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-likiskeliu-g-parduodamas-2-kambariu-butas-likiskeliu-1-3272602/
80000,1194,67.0,3,5,3,1988-01-01,Central,Fully equipped,0.13,0.37,0.18,,8,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-jazminu-g-parduodamas-triju-kambariu-butas-jazminu-1-3269822/
65999,1086,60.78,3,5,3,1977-01-01,Central,Fully equipped,0.26,0.13,0.21,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kastonu-g-sis-3-kambariu-butas-alytaus-mieste-1-3269538/
41500,952,43.61,5,9,1,1992-01-01,Central,Fully equipped,0.35,0.36,0.28,,3,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-aukstakalnio-g-parduodamas-erdvus-1-kambario-4361-kvm-1-3269082/
73500,1035,71.03,1,5,3,1991-01-01,Central,Fully equipped,0.08,0.19,0.29,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-likiskeliu-g-parduodamas-3-ju-kambariu-butas-likiskeliu-g-1-3253845/
83500,1300,64.25,2,5,3,1981-01-01,Central,Fully equipped,0.48,0.1,0.1,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-jaunimo-g-parduodamas-tvarkingas-suremontuotas-butas-1-3249385/
81500,1012,80.53,4,9,3,1996-01-01,Central,Fully equipped,0.41,0.35,0.35,,4,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-likiskeliu-g-3-kambariu-butas-vidzgiryje-likiskeliu-g-1-3235064/
76000,1206,63.0,2,10,3,1975-01-01,Central,Fully equipped,0.2,0.24,0.24,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-kastonu-g-parduodamas-tvarkingas-3-ju-kambariu-butas-1-3227892/
29500,872,33.83,5,9,1,1991-01-01,Central,Fully equipped,0.33,0.26,0.26,,5,Alytus,Vidzgiris,https://en.aruodas.lt/butai-alytuje-vidzgiryje-statybininku-g-parduodamas-vieno-kambario-butas-alytuje-1-3223302/
