Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
48500,970,50.0,5,5,2,1993-01-01,Central,Partial decoration,0.06,0.41,0.33,0.33,13,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-nebrangus-1-no-kambsu-holu-butas2a-1-3256066/
75000,1071,70.0,6,9,3,1975-01-01,Central,Fully equipped,0.06,0.19,0.05,0.05,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-naikupes-g-klaipedoje-naikupes-g-parduodamas-triju-1-3265288/
66000,1179,56.0,2,9,2,1983-01-01,Central,Fully equipped,0.25,0.43,0.13,0.14,7,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-parduodamas-dvieju-nepereinamu-kambariu-butas-1-3265260/
108990,2946,37.0,4,8,2,2019-01-01,Central thermostat,Fully equipped,0.31,0.64,0.29,0.2,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-nidos-g-a-energ-klases-name-2-kambariu-1-3272390/
109001,2946,37.0,4,8,2,2019-01-01,Central,Fully equipped,0.31,0.64,0.29,0.2,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-parduodame-naujos-statybos-name-2-ju-kambariu-1-3266958/
108900,2943,37.0,4,8,2,2019-01-01,Central thermostat,Fully equipped,0.31,0.64,0.29,0.2,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-poilsyje-nidos-g-greitos-ikurtuves-naujos-statybos-a-pilnai-1-3271116/
109432,2958,37.0,4,8,2,2019-01-01,Central thermostat,Fully equipped,0.31,0.64,0.29,0.2,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-parduodamas-2-kamb-butas-naujos-statybos-name-1-3270054/
67500,1184,57.0,4,5,2,1998-01-01,Central,Fully equipped,0.45,0.6,0.16,0.18,6,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-kalnupes-g-parduodamas-suremontuotas-2-ju-kambariu-butas-1-3272252/
15900,1127,14.11,4,4,1,1960-01-01,Central,Fully equipped,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-naujai-suremontuotas-su-baldais1-1-3190420/
71500,2043,35.0,4,5,1,1991-01-01,Central,Fully equipped,0.22,0.26,0.06,0.1,9,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-naikupes-g-naikupes-gatveje-parduodamas-1-no-kambario-1-3270512/
57000,1727,33.0,2,5,2,1979-01-01,Central,Fully equipped,0.26,0.11,0.12,0.23,9,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-klaipedoje-nidos-g-parduodamas-perdarytas-1-3269982/
57000,1737,32.81,2,5,2,1979-01-01,Central,Fully equipped,0.26,0.11,0.12,0.23,9,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-parduodamas-perdarytas-15-k-butas-virtuve-1-3257248/
57000,1737,32.81,2,5,2,1987-01-01,Central,Fully equipped,0.26,0.11,0.12,0.23,9,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nidos-g-parduodamas-perdarytas-15-k-butas-virtuve-1-3266106/
13000,1182,11.0,4,4,1,1961-01-01,Central,Fully equipped,0.39,0.15,0.15,0.23,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-sulupes-g-sulupes-gatveje-parduodamas-kambarys-1-3269974/
40000,933,42.89,2,3,2,1924-01-01,Solid fuel,Partial decoration,0.58,0.65,0.16,0.07,4,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-nemuno-g-parduodamas-2-ju-kambariu-butas-nemuno-1-3269228/
62900,1430,43.99,2,4,2,1959-01-01,Central,Fully equipped,0.25,0.39,0.13,0.11,9,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-pilnai-renovuotas-2-ju-kambariu-1-3268460/
26000,1083,24.0,3,3,1,1954-01-01,Central,Fully equipped,0.3,0.45,0.13,0.18,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-1-kambarys-su-bendra-virtuve-1-3268420/
